-10.25,-0.2779
-10,-0.2957
-9.75,-0.3348
-9.5,-0.2931
-9.25,-0.3108
-9,-0.3536
-8.75,-0.3111
-8.5,-0.3414
-8.25,-0.3456
-8,-0.3344
-7.75,-0.3947
-7.5,-0.3529
-7.25,-0.3865
-7,-0.6052
-6.75,-0.6119
-6.5,-0.6218
-6.25,-0.63
-6,-0.6319
-5.75,-0.6274
-5.5,-0.6136
-5.25,-0.6011
-5,-0.5865
-4.75,-0.5713
-4.5,-0.5276
-4.25,-0.4802
-4,-0.4378
-3.75,-0.4043
-3.5,-0.3666
-3.25,-0.3208
-3,-0.2981
-2.75,-0.2628
-2.5,-0.2294
-2.25,-0.2029
-2,-0.1643
-1.75,-0.1449
-1.5,-0.1075
-1.25,-0.0914
-1,-0.0558
-0.75,-0.0412
-0.5,-0.0136
-0.25,0.0023
0,0.0114
0.25,0.0798
0.5,0.0996
0.75,0.1348
1,0.1412
1.25,0.1898
1.5,0.1832
1.75,0.2108
2,0.229
2.25,0.2387
2.5,0.2864
2.75,0.274
3,0.2943
3.25,0.3201
3.5,0.3182
3.75,0.3465
4,0.3594
4.25,0.3585
4.5,0.3701
4.75,0.3997
5,0.3979
5.25,0.4013
5.5,0.4114
5.75,0.4328
6,0.3764
6.25,0.3692
6.5,0.4198
6.75,0.4003
7,0.4377
7.25,0.434
7.5,0.4508
7.75,0.4703
8,0.4685
8.25,0.5086
8.5,0.4926
8.75,0.5426
9,0.5179
9.25,0.5585
